cell_id,block,family,offset_bps,buffer_ticks,timeout_ms,spread_guard_bps,is_baseline,direction_note,n_attempts,n_simulated_fills,n_skipped_spread_guard,n_skipped_no_bbo,n_skipped_tick_missing,n_skipped_family_mismatch,n_skipped_crossed_book,n_eligible,maker_fill_rate,fill_rate_wilson_ci_low,fill_rate_wilson_ci_high,expected_fee_saving_bps,fee_saving_wilson_ci_low,fee_saving_wilson_ci_high,adverse_selection_proxy_bps,pre_phase_1b_taker_baseline_bps,pass_gate,data_source,generated_at
G-AB-01-C30,1,grid,0.5,1,30000,50.0,True,baseline anchor,94,52,0,2,0,6,0,86,0.6046511627906976,0.49897526698784006,0.7013773536244373,3.381474490599123,3.244433323272283,3.518515657925963,,5.500000023113733,FAIL,bybit_demo_ws,2026-05-25T01:28:49.008848+00:00
G-AB-01-C60,1,grid,0.5,1,60000,50.0,False,baseline anchor,94,61,0,2,0,6,0,86,0.7093023255813954,0.6060296195175814,0.7946756217069737,3.3989618608385967,3.2818246103807036,3.51609911129649,,5.500000023113733,FAIL,bybit_demo_ws,2026-05-25T01:28:49.008877+00:00
G-AB-01-C90,1,grid,0.5,1,90000,50.0,False,baseline anchor,94,66,0,2,0,6,0,86,0.7674418604651163,0.6679021685151015,0.8441100841607191,3.406616265320521,3.298226279060272,3.5150062515807705,,5.500000023113733,FAIL,bybit_demo_ws,2026-05-25T01:28:49.008890+00:00
G-AB-02-C30,1,grid,0.5,0,30000,50.0,False,E2 Tune-1 inside (same-price maker),94,52,0,2,0,6,0,86,0.6046511627906976,0.49897526698784006,0.7013773536244373,3.381474490599123,3.244433323272283,3.518515657925963,,5.500000023113733,FAIL,bybit_demo_ws,2026-05-25T01:28:49.008898+00:00
G-AB-02-C60,1,grid,0.5,0,60000,50.0,False,E2 Tune-1 inside (same-price maker),94,61,0,2,0,6,0,86,0.7093023255813954,0.6060296195175814,0.7946756217069737,3.3989618608385967,3.2818246103807036,3.51609911129649,,5.500000023113733,FAIL,bybit_demo_ws,2026-05-25T01:28:49.008906+00:00
G-AB-02-C90,1,grid,0.5,0,90000,50.0,False,E2 Tune-1 inside (same-price maker),94,66,0,2,0,6,0,86,0.7674418604651163,0.6679021685151015,0.8441100841607191,3.406616265320521,3.298226279060272,3.5150062515807705,,5.500000023113733,FAIL,bybit_demo_ws,2026-05-25T01:28:49.008913+00:00
G-AB-03-C30,1,grid,1.0,1,30000,50.0,False,"v48 mid offset, baseline buffer",94,52,0,2,0,6,0,86,0.6046511627906976,0.49897526698784006,0.7013773536244373,3.381474490599123,3.244433323272283,3.518515657925963,,5.500000023113733,FAIL,bybit_demo_ws,2026-05-25T01:28:49.008920+00:00
G-AB-03-C60,1,grid,1.0,1,60000,50.0,False,"v48 mid offset, baseline buffer",94,61,0,2,0,6,0,86,0.7093023255813954,0.6060296195175814,0.7946756217069737,3.3989618608385967,3.2818246103807036,3.51609911129649,,5.500000023113733,FAIL,bybit_demo_ws,2026-05-25T01:28:49.008927+00:00
G-AB-03-C90,1,grid,1.0,1,90000,50.0,False,"v48 mid offset, baseline buffer",94,66,0,2,0,6,0,86,0.7674418604651163,0.6679021685151015,0.8441100841607191,3.406616265320521,3.298226279060272,3.5150062515807705,,5.500000023113733,FAIL,bybit_demo_ws,2026-05-25T01:28:49.008934+00:00
G-AB-04-C30,1,grid,1.0,2,30000,50.0,False,"v48 mid offset, wide buffer",94,42,0,2,0,6,0,86,0.4883720930232558,0.38550397038221695,0.59223462732753,3.3964838543888645,3.2681384215969054,3.5248292871808236,,5.500000023113733,FAIL,bybit_demo_ws,2026-05-25T01:28:49.008942+00:00
G-AB-04-C60,1,grid,1.0,2,60000,50.0,False,"v48 mid offset, wide buffer",94,52,0,2,0,6,0,86,0.6046511627906976,0.49897526698784006,0.7013773536244373,3.416390805467929,3.3123650914770635,3.5204165194587946,,5.500000023113733,FAIL,bybit_demo_ws,2026-05-25T01:28:49.008948+00:00
